no,ELE,SLP,TMP,PPT,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_117,655.1257215,1.443037026,24.27063898,816.7649604,149540,1.883234454,24.84658048,30.22993035,-15.14568165,19.60664368,54.80405045,23.49571228,11
element_118,706.0438752,1.273742753,22.35294728,1215.122451,73545.7,2.681077407,23.92122968,34.44048987,-11.65609208,27.65879631,36.59889603,16.89251328,10
element_119,1041.101887,0.800208067,22.22028366,1033.61117,8285.8,2.267003817,24.36974665,33.56535904,-12.72768199,31.9822197,37.28662872,16.98479843,8
element_120,796.5585285,1.207540702,23.27422431,982.0040443,97271.1,2.007408704,24.49731978,31.06679345,-13.91349097,26.88271523,45.46990585,24.49112701,11
element_121,1069.922005,1.029743528,22.30755557,966.5348152,44508.4,2.216837126,24.36121484,29.48341497,-14.16338444,29.1600132,45.81894302,22.03278732,8
element_122,1084.041775,0.392322741,22.21252627,835.2877801,156563.2,3.128053603,25.0618166,26.81759267,-15.68673649,29.91782379,44.27392197,21.14433861,8
element_123,676.9183971,1.2831897,24.04108908,727.5082115,683379.1,2.357957111,25.44018891,28.61761716,-16.23997674,19.13585663,50.20393372,21.93830109,11
element_124,1176.039353,2.092238778,21.91456951,1196.614657,39974.4,2.125540311,25.55625701,34.38910636,-9.954516021,30.95329666,43.77697372,18.2150135,8
element_125,1331.513544,1.335540261,21.27931321,1074.523804,12277.9,2.14561122,24.72824654,33.66047697,-11.38063741,30.58146667,36.26884079,17.34996986,8
element_126,1108.894773,0.535134729,21.41410104,731.3162928,51084.7,2.543227727,24.59576656,29.81766242,-18.04869091,23.95862389,59.08692551,14.83919811,8
element_127,764.7728356,1.181325901,24.0838537,727.7302721,627846.3,2.354697422,25.17372471,28.15519913,-16.47647509,17.65030479,40.82987976,20.26385117,11
element_128,714.6585125,0.931243491,24.12481469,741.0767611,617103.9,2.476993657,24.74326934,27.89131682,-16.73713535,16.60451317,41.18611145,19.05295753,11
element_129,806.8274226,0.866740718,23.97343538,715.2750774,6857.4,2.12508806,25.56381648,28.60574942,-17.602855,23.66261101,55.11836243,15.26263809,11
element_130,829.5795053,0.939725544,23.55906868,707.4535595,602839.6,2.305506681,24.99859103,27.37534922,-17.51427875,20.85581017,53.14313507,17.22588348,11
