no,ELE,SLP,TMP,PPT,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster
element_164,1186.432974,0.302871122,22.07790116,1347.830475,24078,3.752747896,24.44331717,20.78318094,-12.11578599,6.848787308,86.87117767,5.228927612,10
element_165,1149.001983,0.26731728,22.22700339,1366.075166,41789.2,4.110595956,24.60704582,22.77171191,-11.67820274,16.2559948,74.90948486,7.73378706,10
element_166,69.99606815,0.176080419,25.25568082,1112.748623,17621.7,4.047566688,28.37211408,35.3692774,-18.88824555,24.94310951,54.4246788,14.3081398,11
element_167,406.8271251,0.867529578,23.36059634,1037.931891,31022,2.765372602,29.55939124,33.86885657,-18.62928717,22.68556213,61.92124176,14.31622505,11
element_168,34.60169424,0.153004381,25.14395631,1112.656227,1002.6,4.094728468,27.78133921,34.47434534,-19.74140474,35.6752243,41.9196434,14.45183468,11
element_169,480.2167976,1.380373493,23.39530436,923.0878343,28572.9,2.327283347,25.73028427,33.28997281,-19.92106579,26.66591644,58.22729111,13.47877598,11
element_170,102.1552706,0.212433708,24.52856431,841.3580001,16795.7,3.434235131,26.22768442,34.12604421,-20.69297375,24.70953941,59.76859665,12.77070332,11
element_171,806.0960656,0.759490297,22.41865711,737.6229198,102590.7,2.372196172,24.27387222,31.77153367,-20.19014759,24.7415638,60.85909653,13.51330471,8
element_172,79.99963559,0.236727375,24.18332731,802.0016227,24517.8,3.243757478,23.26865737,35.04283637,-22.57613382,12.35357571,71.33434296,8.035968781,11
element_173,96.40089254,0.246568783,23.96410967,735.8072064,19903.9,3.166915131,22.79748578,34.57738626,-23.73561227,12.12408733,78.09152985,7.113089085,11
element_174,56.0872694,0.308423725,23.67147108,848.1239137,3159.8,2.446292397,18.79006471,34.11457723,-24.80658159,4.63104248,79.14803314,4.437804699,11
element_175,37.64934443,0.237958752,23.73329358,859.3734776,407139,3.431595154,26.16372986,33.50386721,-24.95337451,16.42284012,67.32304382,9.688679695,11
