no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster,n,AET,R
element_1009,2046,293.1283914,4.025515856,242.2863637,134.3687525,1940.984978,9.066200842,0.212285095,1210.705175,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3113179,131.3595654,3.009187069
element_1009,2047,293.1029563,4.093022409,238.822322,128.5464093,1966.290642,9.080365379,0.215546644,1939.91475,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.340193,126.1218386,2.424570729
element_1009,2048,293.0541561,4.069164905,240.3388172,139.4396176,1918.279069,9.016434028,0.194315155,1844.230373,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3420546,136.4364968,3.003120839
element_1009,2049,292.8404268,4.123787968,240.6135419,145.6737637,1941.998177,9.042866755,0.237884231,1861.187066,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.356816,142.5581006,3.115663089
element_1009,2050,292.9333968,4.093636044,240.2539421,150.0588938,1936.351964,9.088632208,0.152450391,1283.058191,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2878973,145.8727137,4.18618009
element_1009,2051,293.3426225,4.004632644,241.4340411,139.5477145,1961.869459,9.077174004,0.172888934,1293.326904,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.271216,135.8497671,3.69794736
element_1009,2052,293.3843429,4.04675771,239.9612491,161.073209,1972.86377,9.187280162,0.203668809,1441.622148,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3272381,156.841861,4.231347983
element_1009,2053,293.5014774,4.054183381,240.6446113,137.5663678,1981.435516,9.131477845,0.178025944,1479.462866,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2803874,134.1357622,3.430605649
element_1009,2054,293.5980424,4.163799693,237.0107515,137.7445397,2013.916606,9.091008336,0.159709048,1170.940594,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2856218,134.4319667,3.312573032
element_1009,2055,293.5394604,4.031936688,239.8187205,133.4790543,1949.805282,9.048584478,0.163388367,1419.632605,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2849194,130.2578333,3.221220979
element_1009,2056,293.8837104,3.992653957,239.1758846,140.2069465,1963.608492,9.054447267,0.191580277,2233.967083,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.3416685,137.2533142,2.953632298
element_1009,2057,293.8513256,4.112279456,242.1954638,114.8411209,2046.663153,9.02795246,0.180264258,2172.177545,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2923096,112.7377684,2.103352473
element_1009,2058,294.1132384,3.940241662,242.4812421,106.1751314,2010.674882,8.973669757,0.157685604,1662.972512,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2839566,104.3186187,1.856512683
element_1009,2059,293.7542063,4.101813115,241.744488,127.8497817,1975.582153,8.972029838,0.143079976,1663.459025,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2806027,124.9309314,2.918850315
element_1009,2060,293.7956323,4.093691211,240.5104294,128.1182826,2024.803066,9.024999121,0.182519337,642.6809607,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2810606,125.2788265,2.839456132
element_1009,2061,293.8598722,3.983059908,241.4162797,120.1963581,1989.832605,8.969395577,0.125954889,738.8396047,1290.553652,0.751549305,1667.2,2.016282144,26.77567877,-1.673051381,32.80900824,16.73194504,49.85694504,29.51456261,8,1.2661297,117.5471083,2.649249795
