no,ELE,SLP,TMP,PPT,AREA,LON,LAT,Cluster
CA_0001806,481.71,0.42,-2.85,883.49,21400,-74.59221649,52.17110825,1
CA_0001823,447.9,0.35,-3.23,834.81,13200,-74.47306061,53.16749954,1
CA_0001834,452.67,0.25,-4.64,697.95,21000,-73.98361206,54.84917068,1
CA_0001881,219.95,0.38,-5,597.47,2140,-68.26999664,57.67082977,1
CA_0001883,355.29,0.48,-5.35,628.68,3680,-66.37277985,57.91056061,1
CA_0001887,295.0904778,2.374700646,-3.91858969,835.8004274,74.0604,-62.1614418,56.37313843,1
CA_0001888,147.9556489,1.29159,-3.918589788,840.5025641,30.8917,-62.11032867,56.34056091,1
CA_0001898,475.36,0.93,-4.08,848.95,7570,-61.30168915,55.23413849,1
CA_0001935,180.6524506,0.884937286,-0.489438322,946.0051282,65.5608,-60.29330826,53.51280975,1
CA_0001938,406.83,0.9,-2.84,898.05,4480,-61.42681122,54.13191986,1
CA_0001939,421.08,0.6,-1.6,1071.02,10900,-57.49385834,53.53427887,1
CA_0001940,313.32,0.54,-1.17,1060.1,2310,-56.87121964,52.64860916,1
CA_0001945,220.37,0.1,-1,528.37,9190,-95.12000275,54.85639191,1
CA_0001958,236.74,0.11,-1.84,667.49,4350,-89.55000305,53.76667023,1
CA_0001961,238.64,0.11,-1.88,680.78,7950,-87.95339203,53.71175003,1
CA_0001970,276.19,0.1,-0.93,719.6,36000,-85.07225037,53.09130859,1
CA_0001973,408.91,0.12,0.79,724.89,5390,-91.5945816,51.17377853,1
CA_0001976,406.9,0.17,0.62,763.65,11200,-88.93161011,50.86841965,1
CA_0001991,298.14,0.37,0.99,820.88,2118.439941,-85.22618866,49.76419067,1
CA_0001994,97.16,0.06,-0.14,727.85,4250,-80.86393738,51.16083145,1
CA_0001995,29.93,0.04,-0.43,684.79,133,-80.65389252,51.25444031,1
CA_0002009,326.81,0.19,1.79,838.51,34700,-82.16667175,50.00416946,1
CA_0002012,285.0097361,0.133527747,0.849604233,843.0080109,1168.317,-83.65556335,49.68278122,1
CA_0002013,252.75,0.17,1.1,825.3,22900,-82.09100342,50.58544159,1
CA_0002026,201.25,0.15,0.01,807.29,6680,-80.76407623,51.07672119,1
CA_0002049,1640.23,2.7,2.98,638.36,4401.100098,-113.8227234,49.55781174,9
CA_0002079,1615.84,2.03,2.62,603.88,162,-114.2127838,50.19638824,9
CA_0002153,1561.03,2.7,4.25,681.94,1631.400024,-113.4847794,49.43336105,9
CA_0002165,1514.27,2.75,4.45,656.3,653,-113.4804382,49.35211945,9
CA_0002271,935.9330614,0.920348746,4.293902226,372.0470962,1132.968,-109.9870071,50.01197815,1
