Area,LAT,CTI,Slope,Elevation,River,LAI,Speed,Srad,SW,Clay,Silt,Sand,CO2,n
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,0.952141699,3.507638931,133.4161102,24.91388893,18.33333397,42.59999847,34.125,88015.08438,2.564562554
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,0.969213928,3.339444399,131.6527771,24.46583328,18.33333397,42.59999847,34.125,90011.43594,2.539718225
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,0.980761145,3.428055763,131.135553,24.45444412,18.33333397,42.59999847,34.125,90772.03906,2.753632763
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,0.99733335,3.523333311,130.3661072,24.53138885,18.33333397,42.59999847,34.125,92577.65156,2.756841944
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,1.010266687,3.401388884,127.8227768,24.80611115,18.33333397,42.59999847,34.125,94006.58906,3.217594192
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,1.018330554,3.478610992,128.5675003,25.39305573,18.33333397,42.59999847,34.125,93105.82031,3.848984547
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,1.021408337,3.446527481,129.9525009,25.74722252,18.33333397,42.59999847,34.125,90815.94688,3.512179896
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,1.052002759,3.415694475,129.382222,25.85694466,18.33333397,42.59999847,34.125,91147.59688,3.758527883
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,1.061802759,3.351944208,133.4619461,25.78388939,18.33333397,42.59999847,34.125,92025.02031,3.793826064
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,1.055641663,3.371388674,135.5047241,25.78388939,18.33333397,42.59999847,34.125,92606.28281,3.833580135
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,1.047791675,3.354999781,136.5416687,25.76555634,18.33333397,42.59999847,34.125,96645.34219,3.757160531
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,1.041916675,3.410416842,137.4816711,25.90166702,18.33333397,42.59999847,34.125,99155.59688,4.305521221
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,1.037313892,3.511249781,138.9794525,25.82305641,18.33333397,42.59999847,34.125,99842.61719,3.606808479
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,1.018630554,3.400138855,135.4127869,25.81055641,18.33333397,42.59999847,34.125,99620.90469,3.31125668
64.549,47.5896,2.821499571,7.931173985,1615.816992,28.86979943,1.009238867,3.442777872,134.9786194,25.81055641,18.33333397,42.59999847,34.125,97571.01719,3.336460595
110.8172,47.5812,0.548928756,8.161493329,1246.385645,26.08736298,1.785882031,2.445364714,132.4889557,27.13645706,23.28125,31.33333397,41.61458206,6109.039746,4.629050914
110.8172,47.5812,0.548928756,8.161493329,1246.385645,26.08736298,1.782307031,2.537603855,132.4137482,26.97468605,23.28125,31.33333397,41.61458206,6210.387012,4.133937916
110.8172,47.5812,0.548928756,8.161493329,1246.385645,26.08736298,1.793661182,2.49760437,132.3680206,26.71291542,23.28125,31.33333397,41.61458206,6338.722656,3.795517436
110.8172,47.5812,0.548928756,8.161493329,1246.385645,26.08736298,1.790741748,2.569322824,133.6515656,26.46051979,23.28125,31.33333397,41.61458206,6415.993652,3.020013251
110.8172,47.5812,0.548928756,8.161493329,1246.385645,26.08736298,1.786713965,2.689479113,133.7501068,26.21249924,23.28125,31.33333397,41.61458206,6484.45127,2.940079847
